# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2888.289856384334,377925.7624269139,65
0,1,0,3354.20717453244,375865.2946897789,90
0,2,0,6129.547906206244,821949.2928772818,126
0,3,0,9568.362679953587,1814663.959071637,174
0,4,0,13755.95567178906,2286906.639286318,214
0,5,0,16364.56522292463,2496943.606061209,268
0,6,0,26099.17879567164,4629750.191937672,332
0,7,0,29510.38375709603,5389260.354139818,393
0,8,0,39185.46170027222,8101127.839671562,423
0,9,0,42789.0792893386,8286650.989109234,455
0,10,0,42532.41964228608,8537695.358243324,472
0,11,0,43172.23016348542,9564929.494684296,446
0,12,0,37671.32194669521,7930232.198006419,430
0,13,0,28948.06962467309,5601616.954691214,378
0,14,0,21547.46268061194,3269894.910951207,320
0,15,0,15821.47244754942,2297571.850050535,266
0,16,0,13283.75665602357,2070155.010291782,204
0,17,0,9899.99142217155,1349345.378053874,184
0,18,0,7746.91671058484,1008868.901537753,134
0,19,0,6425.357422532152,1048115.071576894,101
0,20,0,3650.365406375733,390557.2579559375,77
1,0,0,3456.891161919333,524711.5958794215,76
1,1,0,5684.488798741198,959576.9789299044,98
1,2,0,7131.759714532007,1000288.191514561,148
1,3,0,12377.54540357856,1935963.337184982,205
1,4,0,17045.51576515022,2657444.70806445,275
1,5,0,23402.11419215142,4010718.513562122,347
1,6,0,35376.05027891125,7047576.877748897,411
1,7,0,44001.5955192319,9150823.944778522,469
1,8,0,64787.814084507,16131037.52380603,499
1,9,0,80442.21496871641,23169013.85134083,520
1,10,0,87249.97861266638,26297808.6745565,522
1,11,0,73508.16984433965,20237684.23651651,519
1,12,0,63018.31481357101,15956235.53237191,505
1,13,0,43930.64298755355,8934364.759954862,450
1,14,0,32023.91121953057,5958470.360491546,398
1,15,0,24721.46004601608,5238118.606480625,321
1,16,0,18782.24926483202,4119609.610317327,259
1,17,0,12744.81321972826,1826976.542440084,215
1,18,0,8286.492282381161,1313577.54820633,163
1,19,0,6441.757723722765,784875.6622892739,122
1,20,0,5285.878412910271,746661.4115998085,100
2,0,0,5651.999622145711,836622.096992938,96
2,1,0,5281.691490058305,649189.7889162874,134
2,2,0,9985.213799472149,1302795.396986598,183
