# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,171.6225784971533,7168.427493187848,28
0,1,0,123.4265244778939,2149.344351303598,29
0,2,0,45.9281724191756,927.9415808726955,26
0,3,0,92.86204060091761,1893.23292539262,26
0,4,0,58.74852292299013,1066.861927257602,24
0,5,0,122.3755867048031,3068.602580497442,20
0,6,0,72.79238283935196,1408.883300797639,17
0,7,0,75.17696612742445,1233.718552463671,22
0,8,0,54.3764599714049,784.3805864397265,26
0,9,0,104.3521527861108,2949.499255447918,28
0,10,0,89.08402154230836,1312.415836921341,33
0,11,0,228.7171750551881,10751.68593399125,32
0,12,0,188.8501998501105,3341.750939203288,38
0,13,0,346.147387385899,9000.797709455144,55
0,14,0,143.8238584028762,3018.693617747924,50
0,15,0,186.9163317278349,3566.852892224408,47
0,16,0,256.0133730391822,10212.05228633353,43
0,17,0,385.3556982354638,10301.90393673134,53
0,18,0,147.2643527696601,2838.894651053495,43
0,19,0,171.8621479691221,3746.011863537951,38
0,20,0,231.1313842604447,7448.662680813094,47
0,21,0,415.954467122771,12541.00020578974,56
0,22,0,229.4125827858681,5016.733779108066,56
0,23,0,350.7608471437922,9784.020565836357,63
0,24,0,267.8270370639756,6668.363118847516,47
0,25,0,399.9266490240137,13215.71216079745,55
0,26,0,247.271751612773,5127.084636945386,67
0,27,0,477.2806617173627,33682.17227800172,58
0,28,0,237.1852866754774,5870.876649567857,59
0,29,0,324.1209334280407,10784.87082622326,59
0,30,0,310.2132327486632,9738.078597910619,59
0,31,0,517.1569994471289,25286.83000122784,73
0,32,0,343.4595943529208,14617.5272875749,62
0,33,0,372.5581256491409,8472.834389683494,67
0,34,0,239.5642853682766,5023.249919354864,58
0,35,0,295.4986606679932,5691.74236567533,72
0,36,0,457.0182120458899,15966.33519861782,84
0,37,0,541.2330536311919,18317.29864073853,86
0,38,0,504.0803719316746,18110.38648232898,64
0,39,0,519.6414240124828,19367.77421947075,71
0,40,0,620.1432361700646,22528.48586674914,78
0,41,0,402.9114554364654,13466.58269085401,75
0,42,0,303.9932774196132,6295.730784943654,76
0,43,0,425.8038956289476,9369.555611598875,82
0,44,0,464.5009565934415,9541.834508147247,92
0,45,0,427.7624024471467,7567.224817332828,85
0,46,0,493.8601217708418,16264.55501408037,74
0,47,0,577.170099631747,20676.18420028489,84
0,48,0,303.9963250713978,11674.64367793078,78
0,49,0,428.4046262041014,9944.075880756545,83
0,50,0,317.7208631058149,5880.075262052499,86
0,51,0,517.1210140614953,17787.99293345263,83
0,52,0,453.2247833707002,13225.50750510951,82
0,53,0,483.9707428514998,12392.83792083036,81
0,54,0,607.8206124317148,16836.86724732971,81
0,55,0,637.5136920536129,22174.13543125485,100
0,56,0,615.1037766931095,24116.26737689034,90
0,57,0,831.7869690187324,36039.71383566545,94
0,58,0,699.0875269330505,23889.95975754625,94
0,59,0,590.7642776100685,23770.193047473,86
0,60,0,457.9796710580791,15236.59983044803,83
0,61,0,661.5548691137271,25485.06802641091,84
0,62,0,468.7281239960772,9156.013459528102,74
0,63,0,380.9794247698416,8626.700012031219,83
0,64,0,389.0221956367635,15380.05583788429,74
0,65,0,570.9208756507243,21604.5316478883,77
0,66,0,284.094433235261,7429.176016468376,82
0,67,0,303.9659430568978,6166.487475652634,74
0,68,0,414.1959128756458,12507.0478619909,64
0,69,0,491.4947102775618,14196.38677926735,74
0,70,0,362.0035653964381,10474.16391532198,69
0,71,0,249.3423473340855,6301.955679965215,71
0,72,0,286.8047898381797,11497.01524151246,56
0,73,0,273.5063892794064,9444.945108781927,53
0,74,0,361.0577379649133,11566.0014149701,52
0,75,0,151.3577837992113,2711.756612925393,45
0,76,0,237.1265817804458,5594.909065260034,54
0,77,0,346.501293002804,15738.9720573987,66
0,78,0,291.0683868291516,13181.71882401854,60
0,79,0,227.2786106749584,5263.804507563751,50
0,80,0,251.4479581942345,4834.890547488856,48
0,81,0,275.0611222731972,5337.05258716573,61
0,82,0,137.6975271019501,2317.855311268617,54
0,83,0,235.109623694647,10535.15023580527,43
0,84,0,165.0858066442557,3331.399251446496,44
0,85,0,170.2987977249325,3853.061147854935,39
0,86,0,253.1702793204203,6758.236997131485,43
0,87,0,351.3642877087094,9895.389359144052,46
0,88,0,86.93005901402263,1106.396285164241,37
0,89,0,290.7899133270625,8430.332376611754,41
0,90,0,176.7629986135921,5165.720068126225,44
0,91,0,97.5758607060643,1665.306101885533,42
0,92,0,85.33391686938124,1518.116619736034,32
0,93,0,187.244850243452,7610.687559492519,31
0,94,0,128.6964825731254,2131.291389741881,40
0,95,0,152.6009114990757,5073.411196185296,38
0,96,0,52.72435705715073,633.7557298144089,30
0,97,0,34.56605510056157,586.424026540531,26
0,98,0,78.04855112130619,1276.235033617529,31
0,99,0,225.9087363216916,8316.664716682408,34
0,100,0,268.152960509988,12596.50232467287,27
1,0,0,151.4570882164015,9323.480644650845,22
1,1,0,82.97595044172054,1135.759200087514,27
1,2,0,114.4941581521686,2984.600280892279,29
1,3,0,19.94978559928316,245.3570374668583,26
1,4,0,125.4835145889285,2672.266690923027,24
1,5,0,91.59842798347817,4178.523989704987,15
1,6,0,115.4353159831308,3050.376620327899,18
1,7,0,118.6590634482544,3049.862654039416,22
1,8,0,67.16934178861108,758.6644130484552,24
1,9,0,90.3863605339979,4320.799922816323,20
