# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,81.82672281613847,2723.916003336325,22
0,1,0,80.31929023264614,1006.14946442515,21
0,2,0,148.9701024204469,3445.579193346496,23
0,3,0,134.982296954923,3362.931264921644,29
0,4,0,83.68232955858117,1925.392267523936,24
0,5,0,177.0690840214846,4339.758105807012,31
0,6,0,147.6693928674922,2763.388142095944,30
0,7,0,213.4510447833335,9342.694462375084,25
0,8,0,42.1119999999999,458.2743519999975,25
0,9,0,55.36096146038281,729.2798861058825,33
0,10,0,73.69868257907946,2397.197546550361,33
0,11,0,188.6214171264271,4979.622720842772,34
0,12,0,116.9144219579353,3952.867671794602,28
0,13,0,145.7509290127523,3919.309277548301,35
0,14,0,146.9969955828584,3277.531774398989,41
0,15,0,116.6095946885176,2067.360007106069,51
0,16,0,124.0550489311717,2139.143346425975,51
0,17,0,302.3221530008374,15297.34260113943,47
0,18,0,142.8415367540809,2999.526428368252,40
0,19,0,280.9214018893792,8772.086876003819,52
0,20,0,282.2667513174681,6283.517353511588,47
0,21,0,326.4205763924372,12114.81124404575,47
0,22,0,175.8224418856143,3168.583762927141,53
0,23,0,277.1111663122465,6911.245106848886,60
0,24,0,632.2487303568309,28780.9778402338,60
0,25,0,374.1068778929478,10054.26169746321,67
0,26,0,453.4818328982926,13939.15673437543,65
0,27,0,374.5137500832842,11178.6602610491,72
0,28,0,390.0298769165154,14967.58586078157,61
0,29,0,239.1792295687484,4077.238481680187,75
0,30,0,396.4651261992917,12351.38646939408,83
0,31,0,582.4197266552559,27083.81398469269,81
0,32,0,266.3916765497417,5327.819765565446,71
0,33,0,390.611181723363,8892.272798830083,67
0,34,0,363.534062951689,9662.380997478853,72
0,35,0,457.5788073867326,12283.15996187618,82
0,36,0,460.3859944897244,15327.34468225483,84
0,37,0,408.588436472214,9555.722009358369,91
0,38,0,634.2218959839778,24589.20524659516,95
0,39,0,629.0803364151467,15231.99982375007,84
0,40,0,543.4074829549635,15146.72219765303,76
0,41,0,539.498276268678,18745.12179925638,88
0,42,0,447.8689827878998,16511.20567288974,79
0,43,0,490.9203196837183,10299.90362938367,100
0,44,0,643.8966350893728,18096.99917163374,94
0,45,0,592.8893747271903,18320.2826781605,98
0,46,0,383.6219337392328,9566.519065842189,102
0,47,0,601.9705588874982,14918.59892697685,95
0,48,0,489.2804502011847,17165.09202587297,98
0,49,0,744.3771241958133,24780.17440688372,106
0,50,0,816.6137304569345,32164.60224094781,97
0,51,0,559.237970568053,17013.04312122477,100
0,52,0,714.1531135312708,35996.91256137281,102
0,53,0,761.3027119863192,27587.27527026182,104
0,54,0,594.5332518445944,16207.95493538889,103
0,55,0,633.4053326600044,22930.59628746027,94
0,56,0,659.0446637273565,23842.73865042821,103
0,57,0,777.7841167611263,23246.95600793116,91
0,58,0,433.7935695598175,12574.42521327141,86
0,59,0,541.5047979992455,17469.31986454319,94
0,60,0,498.1716439191193,16007.66361587735,85
